#{"t_start": 1786829237.1354809, "env_id": "None"}
r,l,t
-54.0,1,4.930051
-41.1,1,4.93493
-33.0,3,4.945994
-54.0,1,4.951659
-10.0,1,4.957466
-67.8,2,4.964884
-10.0,1,4.971128
-30.9,1,4.97632
-10.0,1,4.981778
-10.0,1,4.988441
-25.5,2,4.995846
-10.0,1,5.002733
-38.4,1,5.008718
-45.0,2,5.017305
-10.0,2,5.024715
-10.0,3,5.036264
-42.6,1,5.044874
-56.7,1,5.050881
-10.0,1,5.055824
-35.7,1,5.060878
-10.0,1,5.067632
-10.0,2,5.075881
-10.0,2,5.084881
-44.7,1,5.090601
-54.9,1,5.096799
-51.3,1,5.102814
-32.1,1,5.107949
-10.0,2,5.117306
-10.0,2,5.1248
-10.0,1,5.132143
-10.0,4,5.146228
-48.6,1,5.154621
-10.0,1,5.160237
-43.5,1,5.166296
-10.0,2,5.175374
-44.4,1,5.181481
-47.4,1,5.18672
-41.1,1,5.192113
-72.6,1,5.197622
-42.6,1,5.202648
-10.0,1,5.207735
-44.4,1,5.212832
-48.0,3,5.222758
-33.6,1,5.227689
-68.1,1,5.233052
-10.0,2,5.240587
-10.0,2,5.248023
-10.0,1,5.253056
-47.4,1,5.258355
-54.6,2,5.265858
-10.0,3,5.275731
-35.4,2,5.283189
-10.0,2,5.29145
-38.7,1,5.296877
-10.0,1,5.302271
-38.7,1,5.307705
-34.2,1,5.31323
-31.8,2,5.3216
-10.0,1,5.327057
-10.0,3,5.338166
-10.0,4,5.35208
-10.0,1,5.357541
-36.3,1,5.362961
-60.9,3,5.373864
-48.3,2,5.383232
-10.0,3,5.393653
-67.2,1,5.39964
-10.0,1,5.404571
-10.0,1,5.409663
-48.3,3,5.420348
-10.0,1,5.425513
-10.0,1,5.431772
-72.6,1,5.438299
-10.0,1,5.444757
-53.4,1,5.451988
-10.0,2,5.462113
-10.0,2,5.473964
-56.7,1,5.481399
-10.0,1,5.488811
-38.4,2,5.498553
-41.1,2,5.507851
-10.0,3,5.521035
-40.8,2,5.533054
-10.0,1,5.539503
-10.0,2,5.550039
-10.0,2,5.559768
-72.6,1,5.566111
