algo,seed,step,episode_return
dqn,0,1302,-87.0
dqn,0,1303,-10.0
dqn,0,1304,-72.6
dqn,0,1309,-55.5
dqn,0,1311,-42.9
dqn,0,1312,-10.0
dqn,0,1313,-10.0
dqn,0,1315,-10.0
dqn,0,1316,-45.0
dqn,0,1317,-38.1
dqn,0,1318,-10.0
dqn,0,1320,-85.2
dqn,0,1322,-10.0
dqn,0,1326,-10.0
dqn,0,1328,-10.0
dqn,0,1329,-10.0
dqn,0,1330,-62.1
dqn,0,1331,-40.2
dqn,0,1333,-10.0
dqn,0,1338,-45.6
dqn,0,1341,-10.0
dqn,0,1346,-10.0
dqn,0,1349,-44.1
dqn,0,1350,-61.8
dqn,0,1352,-10.0
dqn,0,1356,-10.0
dqn,0,1358,-31.2
dqn,0,1363,-41.7
dqn,0,1365,-64.5
dqn,0,1366,-10.0
dqn,0,1367,-10.0
dqn,0,1370,-10.0
dqn,0,1373,-53.4
dqn,0,1375,-10.0
dqn,0,1376,-10.0
dqn,0,1379,-38.1
dqn,0,1380,-48.6
dqn,0,1382,-10.0
dqn,0,1383,-10.0
dqn,0,1384,-10.0
dqn,0,1386,-28.5
dqn,0,1388,-10.0
dqn,0,1389,-40.2
dqn,0,1390,-61.5
dqn,0,1391,-64.8
dqn,0,1392,-10.0
dqn,0,1395,-53.4
dqn,0,1396,-35.7
dqn,0,1397,-49.8
dqn,0,1398,-10.0
dqn,0,1399,-69.6
dqn,0,1400,-10.0
dqn,0,1402,-10.0
dqn,0,1403,-51.3
dqn,0,1406,-10.0
dqn,0,1409,-10.0
dqn,0,1411,-10.0
dqn,0,1413,-31.2
dqn,0,1415,-53.7
dqn,0,1416,-32.1
dqn,0,1419,-42.6
dqn,0,1421,-45.0
dqn,0,1422,-10.0
dqn,0,1423,-10.0
dqn,0,1426,-10.0
dqn,0,1430,-37.5
dqn,0,1431,-10.0
dqn,0,1433,-10.0
dqn,0,1435,-10.0
dqn,0,1436,-10.0
dqn,0,1439,-56.1
dqn,0,1440,-10.0
dqn,0,1446,-10.0
dqn,0,1448,-10.0
dqn,0,1451,-10.0
dqn,0,1454,-31.5
dqn,0,1456,-10.0
dqn,0,1457,-53.4
dqn,0,1462,-24.6
dqn,0,1464,-10.0
dqn,0,1465,-10.0
dqn,0,1467,-56.4
dqn,0,1469,-34.2
dqn,0,1470,-10.0
dqn,0,1471,-10.0
dqn,0,1472,-54.0
dqn,0,1474,-10.0
dqn,0,1475,-10.0
dqn,0,1476,-33.6
dqn,0,1477,-61.5
dqn,0,1480,-10.0
dqn,0,1481,-48.6
dqn,0,1483,-10.0
dqn,0,1485,-10.0
dqn,0,1486,-25.8
dqn,0,1487,-10.0
dqn,0,1488,-54.9
dqn,0,1491,-42.3
dqn,0,1492,-31.5
dqn,0,1493,-10.0
dqn,0,1494,-10.0
