#{"t_start": 1786828163.5632281, "env_id": "None"}
r,l,t
-10.0,1,6.423085
-10.0,1,6.440338
-10.0,1,6.459236
-10.0,1,6.465699
-56.7,1,6.470283
-46.5,2,6.503099
-10.0,1,6.510656
-84.9,3,6.533337
-28.8,1,6.538385
-45.0,1,6.556801
-10.0,2,6.574296
-46.2,5,6.599253
-10.0,1,6.604062
-31.2,4,6.636291
-48.9,1,6.640445
-10.0,1,6.658659
-92.7,3,6.669732
-10.0,1,6.692758
-10.0,1,6.700781
-10.0,1,6.706841
-41.1,1,6.71538
-10.0,2,6.744162
-48.6,1,6.751813
-10.0,2,6.77016
-10.0,2,6.778308
-10.0,4,6.812185
-10.0,1,6.818655
-37.8,2,6.839008
-85.5,6,6.865028
-36.3,1,6.893239
-49.2,1,6.902263
-44.7,1,6.908658
-10.0,2,6.929831
-42.0,3,6.966995
-42.6,1,6.989012
-41.4,1,7.00038
-41.4,3,7.022675
-44.4,4,7.070959
-61.5,1,7.078274
-10.0,1,7.089055
-47.7,4,7.119352
-10.0,3,7.158139
-67.2,1,7.168884
-43.5,4,7.196124
-10.0,1,7.204091
-10.0,2,7.246791
-49.2,1,7.257177
-10.0,2,7.287768
-10.0,1,7.299398
-40.2,1,7.32551
-54.0,1,7.33556
-10.0,1,7.354399
-38.7,1,7.362505
-10.0,1,7.386668
-48.6,2,7.417256
-34.8,2,7.428055
-10.0,2,7.451793
-45.3,1,7.474598
-48.9,1,7.483218
-10.0,1,7.489942
-10.0,2,7.514013
-33.6,1,7.534511
-35.7,1,7.542432
-10.0,2,7.559794
-53.4,2,7.57133
-53.7,2,7.616845
-40.8,2,7.627326
-33.3,2,7.649101
-54.0,1,7.655439
-10.0,1,7.67468
-67.8,2,7.697889
-10.0,1,7.704309
-10.0,1,7.713173
-10.0,2,7.763817
-10.0,1,7.770789
-10.0,1,7.779771
-40.8,2,7.79939
-10.0,1,7.819356
-45.3,1,7.828593
-10.0,2,7.853023
-35.1,1,7.863089
-42.6,1,7.892465
-56.1,3,7.931875
-10.0,2,7.963106
-10.0,2,7.976759
-52.2,5,8.027853
-10.0,5,8.059504
-10.0,3,8.070368
-10.0,1,8.088251
-54.3,3,8.112208
-10.0,2,8.133725
-10.0,1,8.138885
-10.0,3,8.159457
-10.0,1,8.176512
-56.7,1,8.184615
-41.1,1,8.206861
-48.6,1,8.216188
-40.8,2,8.241051
-10.0,2,8.265336
-56.1,3,8.290981
-10.0,4,8.318944
-47.4,1,8.337019
-38.1,11,8.408544
-10.0,1,8.41458
-42.3,2,8.422225
-42.3,1,8.45206
-44.4,1,8.464176
-10.0,1,8.472016
-10.0,2,8.487815
-10.0,1,8.505371
-40.2,1,8.512397
-49.2,1,8.519272
-46.8,1,8.532593
-10.0,1,8.546617
-53.4,6,8.572469
-61.5,1,8.586345
-35.7,1,8.592119
-10.0,1,8.605443
-10.0,1,8.611021
-10.0,3,8.626282
-10.0,1,8.63077
-34.2,1,8.652412
-10.0,1,8.656813
-39.9,2,8.663595
-10.0,1,8.672719
-10.0,2,8.69014
-48.3,2,8.706186
-10.0,2,8.715269
-10.0,2,8.733431
-48.6,1,8.747615
-33.0,3,8.766261
-10.0,5,8.788801
-10.0,3,8.806138
-10.0,1,8.82134
-10.0,2,8.82946
-44.4,2,8.845853
-42.0,1,8.853289
-72.6,1,8.867631
-10.0,2,8.88098
-52.8,3,8.897214
-10.0,2,8.90201
-10.0,2,8.921656
-56.1,3,8.931896
-34.5,1,8.945568
-38.4,2,8.953589
-41.4,1,8.966767
-10.0,3,8.985618
-10.0,1,8.991383
-10.0,1,9.003992
-10.0,1,9.016659
-10.0,2,9.023988
-10.0,8,9.057389
-10.0,1,9.069642
-10.0,4,9.098513
-10.0,1,9.103797
-69.3,2,9.109539
-10.0,1,9.125887
-10.0,3,9.151136
-66.0,6,9.187154
-10.0,1,9.192848
-30.9,1,9.197757
-39.6,3,9.229927
-43.2,1,9.23842
-10.0,2,9.254477
-10.0,2,9.263182
-35.1,1,9.292168
-56.7,1,9.300701
-64.2,3,9.317475
-10.0,1,9.323239
-10.0,1,9.339614
-10.0,1,9.347131
-10.0,1,9.364263
-48.6,1,9.37168
-10.0,1,9.390009
-10.0,5,9.418051
-10.0,2,9.436244
-10.0,1,9.445281
-10.0,2,9.474
-10.0,1,9.48116
-10.0,1,9.488649
-10.0,2,9.506595
-10.0,1,9.520633
-10.0,1,9.527717
-10.0,2,9.544263
-10.0,3,9.554845
-56.4,2,9.578727
-70.8,1,9.586715
-10.0,3,9.603753
-24.6,3,9.621128
-10.0,1,9.637424
-10.0,1,9.645992
-10.0,1,9.651586
-41.4,7,9.679119
-10.0,5,9.708598
-54.0,1,9.72139
-10.0,1,9.725849
-10.0,3,9.738384
-31.5,3,9.754497
-42.6,1,9.769268
-44.1,3,9.778459
-10.0,2,9.788106
-10.0,1,9.801481
-37.8,2,9.817054
-49.8,1,9.820697
-10.0,1,9.824069
-10.0,4,9.849979
-86.7,2,9.861671
-10.0,1,9.865273
-40.5,3,9.877084
-10.0,4,9.902922
-42.6,3,9.913639
-42.9,1,9.922852
-10.0,6,9.943042
-39.9,2,9.961305
-43.8,4,9.975834
-30.0,3,9.98678
-10.0,2,9.999227
-10.0,1,10.011539
-34.5,1,10.016577
-39.9,2,10.029545
-10.0,1,10.032725
-31.2,1,10.042827
-93.3,1,10.055717
-10.0,3,10.063994
-10.0,1,10.074902
-30.3,2,10.09037
-10.0,4,10.108987
-10.0,2,10.123283
-10.0,10,10.158924
-33.6,1,10.169778
-10.0,1,10.180685
-66.9,3,10.189869
-54.9,1,10.201387
-10.0,1,10.213683
-10.0,1,10.218827
-10.0,5,10.236226
-10.0,3,10.24958
-29.7,1,10.260547
-10.0,1,10.273166
-10.0,2,10.281039
-10.0,3,10.293879
-10.0,2,10.306548
-65.4,1,10.320205
-31.2,1,10.323874
-10.0,1,10.329582
-41.1,1,10.34194
-49.8,1,10.354496
-48.6,1,10.358961
-10.0,1,10.363021
-29.7,1,10.372805
-36.9,1,10.385685
-10.0,4,10.399412
-44.1,2,10.404396
-10.0,1,10.415535
-33.9,2,10.431437
-10.0,1,10.436332
-10.0,1,10.439857
-46.8,1,10.458173
-45.3,1,10.465595
-10.0,1,10.470391
-10.0,3,10.485425
-49.5,1,10.499068
-10.0,3,10.515599
-10.0,1,10.521143
-31.2,1,10.525527
-38.4,1,10.543719
-30.3,2,10.549879
-10.0,1,10.554431
-51.3,1,10.565466
-10.0,1,10.576576
-54.9,1,10.580809
-10.0,1,10.586223
-72.6,1,10.598129
-10.0,2,10.611147
-42.6,2,10.62038
-29.7,7,10.64057
-10.0,1,10.653676
-54.0,1,10.666828
-38.4,1,10.671946
-31.2,2,10.685774
-10.0,4,10.699781
-54.0,1,10.711222
-28.8,1,10.716509
-72.6,1,10.72198
-10.0,3,10.737123
-10.0,1,10.751184
-66.9,3,10.769914
-10.0,1,10.775227
-10.0,1,10.784898
-47.7,1,10.795979
-72.6,1,10.801405
-10.0,4,10.81507
-10.0,1,10.819129
-10.0,1,10.839334
-10.0,1,10.844954
-32.1,1,10.849875
-31.8,2,10.864589
-64.8,1,10.87637
-64.8,3,10.892567
-42.6,1,10.900089
-10.0,2,10.907184
-44.1,1,10.927879
-38.4,1,10.934749
-10.0,3,10.956005
-45.0,1,10.962384
-29.4,2,10.981205
-48.3,5,11.024149
-10.0,2,11.033991
-10.0,4,11.060668
-44.7,2,11.095345
-61.2,2,11.1029
-32.1,1,11.107939
-68.1,1,11.119921
-43.8,3,11.142874
-43.2,1,11.160988
-42.9,1,11.168301
-10.0,1,11.174425
-10.0,2,11.19908
-43.8,4,11.222289
-10.0,3,11.232916
-10.0,3,11.247398
-10.0,3,11.276303
-10.0,6,11.304293
-10.0,6,11.33344
-47.1,1,11.33836
-53.7,1,11.352402
-10.0,1,11.367382
-10.0,1,11.371441
-10.0,2,11.377122
-10.0,2,11.401508
