#{"t_start": 1786475270.7516503, "env_id": "None"}
r,l,t
-10.0,1,11.960137
-10.0,1,11.96515
-51.3,1,11.970157
-10.0,4,11.982256
-10.0,1,11.98633
-10.0,1,11.990398
-10.0,1,11.993949
-38.7,1,11.997123
-10.0,2,12.001849
-10.0,1,12.004733
-10.0,1,12.007609
-10.0,1,12.010322
-10.0,1,12.012935
-65.1,2,12.017732
-10.0,2,12.023062
-49.8,1,12.026811
-61.5,1,12.031246
-10.0,1,12.035594
-10.0,2,12.043184
-43.2,1,12.04843
-42.9,1,12.053524
-51.0,2,12.061249
-53.4,3,12.072379
-32.1,1,12.078039
-10.0,2,12.085961
-10.0,1,12.09139
-36.3,1,12.096813
-60.9,3,12.107351
-42.6,1,12.1118
-10.0,1,12.115944
-43.8,3,12.123062
-69.3,2,12.128057
-48.6,1,12.131083
-28.5,2,12.13527
-32.1,1,12.138333
-10.0,3,12.144592
-53.7,1,12.148028
-68.7,4,12.155766
-42.0,3,12.161727
-10.0,1,12.164724
-43.5,1,12.167522
-10.0,1,12.17059
-10.0,1,12.174204
-10.0,1,12.177412
-44.4,1,12.180461
-10.0,1,12.183328
-10.0,1,12.186281
-10.0,2,12.191133
-10.0,1,12.194141
-46.8,1,12.196958
-47.1,7,12.208695
-48.3,2,12.212837
-25.2,3,12.218414
-49.5,1,12.22165
-10.0,1,12.224632
-10.0,1,12.227469
-33.3,2,12.231717
-10.0,1,12.234497
-10.0,1,12.237559
-38.7,1,12.240662
-69.0,3,12.245834
-10.0,2,12.249754
-10.0,1,12.252362
-54.9,1,12.255421
-38.7,1,12.25831
-46.8,1,12.260935
-10.0,4,12.267189
-10.0,2,12.271484
-10.0,1,12.274297
-69.6,1,12.276818
-31.2,2,12.280606
-10.0,1,12.283156
-10.0,2,12.287653
-48.6,4,12.294771
-41.1,1,12.297352
-10.0,2,12.301055
-10.0,2,12.305294
-54.0,1,12.308009
-10.0,1,12.310685
-41.4,3,12.315594
-10.0,2,12.319364
-41.4,1,12.322203
-42.9,1,12.324784
-10.0,1,12.327361
-53.7,2,12.331062
-54.0,1,12.333657
-46.8,1,12.336252
-10.0,1,12.338902
-51.3,1,12.34161
-10.0,2,12.345238
-10.0,1,12.347622
-10.0,1,12.350212
-54.0,1,12.352881
-47.1,1,12.355546
-42.6,1,12.358228
-10.0,1,12.360742
-10.0,3,12.365642
-10.0,4,12.371845
-38.1,3,12.377026
-10.0,2,12.380871
-10.0,1,12.384058
-44.4,1,12.38706
-10.0,1,12.390165
-42.3,2,12.394106
-10.0,1,12.396826
-42.0,2,12.401283
-43.2,1,12.404611
-36.9,1,12.407527
-10.0,1,12.410239
-10.0,2,12.414211
-10.0,1,12.417132
-10.0,1,12.420029
-56.4,2,12.424349
-10.0,1,12.4272
-10.0,4,12.435208
-49.2,3,12.440893
-10.0,1,12.443781
-30.9,2,12.448302
-10.0,1,12.451283
-48.6,1,12.454312
-34.2,2,12.458904
-42.6,3,12.464612
-10.0,1,12.46745
-10.0,1,12.470721
-53.4,2,12.475884
-10.0,1,12.479265
-48.6,1,12.482455
-10.0,1,12.485561
-23.1,1,12.489815
-10.0,2,12.494529
-10.0,2,12.499688
-10.0,1,12.503811
-10.0,1,12.507563
-29.7,1,12.511111
-10.0,1,12.51437
-10.0,1,12.517734
-10.0,1,12.521376
-41.1,1,12.524728
-29.1,3,12.530608
-10.0,1,12.533766
-10.0,1,12.537228
-10.0,2,12.54214
-49.2,1,12.545263
-10.0,1,12.548376
-10.0,1,12.551568
-10.0,1,12.554859
-10.0,1,12.558132
-10.0,2,12.562644
-25.2,1,12.565772
-10.0,1,12.568835
-41.4,4,12.575732
-10.0,1,12.578519
-46.5,3,12.584123
-68.1,1,12.587175
-10.0,1,12.590269
-42.9,1,12.592997
-10.0,1,12.595932
-47.4,1,12.598665
-28.5,2,12.602794
-10.0,1,12.60596
-78.3,2,12.610255
-35.7,1,12.613041
-10.0,1,12.615654
-35.7,1,12.618562
-10.0,1,12.622001
-85.5,1,12.62499
-10.0,1,12.627993
-10.0,1,12.630692
-10.0,1,12.633645
-54.0,1,12.636508
-46.8,1,12.639617
-42.0,1,12.64264
-54.0,1,12.645432
-93.3,1,12.648243
-46.8,1,12.651166
-10.0,3,12.657418
-47.7,1,12.660256
-10.0,1,12.662907
-31.2,1,12.665908
-30.6,1,12.668676
-43.2,1,12.671785
-10.0,1,12.674759
-44.1,2,12.678801
-10.0,1,12.6818
-47.4,2,12.685709
-42.9,2,12.690856
-48.9,1,12.693643
-67.5,1,12.696602
-48.3,2,12.700632
-67.5,1,12.70354
-43.5,1,12.706677
-64.8,1,12.709422
-31.2,1,12.712509
-40.2,1,12.715538
-10.0,1,12.718522
-10.0,2,12.723063
-10.0,1,12.726024
-10.0,1,12.728938
-56.7,1,12.731627
-44.7,1,12.734549
-10.0,1,12.737623
-46.8,1,12.740629
-10.0,3,12.745898
-31.8,2,12.75042
-10.0,1,12.753357
-41.1,1,12.756769
-10.0,1,12.759626
-10.0,2,12.763556
-10.0,2,12.767732
-47.4,2,12.772426
-65.1,2,12.776602
-10.0,1,12.77935
-10.0,1,12.782301
-10.0,3,12.787831
-87.0,1,12.790832
-10.0,1,12.793539
-54.6,2,12.798492
-10.0,1,12.801481
-10.0,1,12.804565
-25.2,1,12.807357
-10.0,1,12.810008
-65.4,1,12.812937
-69.6,1,12.815737
-10.0,1,12.818397
-54.9,1,12.821259
-10.0,3,12.826562
-10.0,2,12.834126
-43.8,2,12.863097
-10.0,1,12.868222
-10.0,1,12.873448
-48.6,1,12.880109
-44.1,1,12.886539
-70.8,1,12.893203
-45.0,1,12.89977
-31.5,1,12.906223
-53.7,1,12.913532
-10.0,1,12.920112
-41.1,1,12.927335
-10.0,2,12.936796
-10.0,1,12.943644
-67.2,1,12.949978
-10.0,2,12.960629
-10.0,2,12.971628
-44.4,1,12.979438
-40.2,1,12.987197
-10.0,1,12.995003
-38.4,2,13.006736
-10.0,3,13.023112
-48.3,2,13.034017
-35.7,1,13.042458
-53.4,1,13.049895
-61.8,1,13.057973
-10.0,2,13.068576
-43.2,1,13.076225
